工厂固话-余勇-2025-03-01
0 | 位置 | 分机号 | 统一号码 | 
1 | IT管理部 | 1001 | 05535566666 | 
2 | 行政部 | 1101 | 05535566666 | 
3 | 人事部 | 1401 | 05535566666 | 
4 | 品质部 | 1402 | 05535566666 | 
5 | 采购部 | 1403 | 05535566666 | 
6 | 资本运营 | 1405 | 05535566666 | 
7 | 财务部 | 1406 | 05535566666 | 
8 | 市场部 | 1407 | 05535566666 | 
9 | 工厂 - 2楼管制口 | 2201 | 05535566666 | 
10 | 工厂 - 贴合办公室 | 2202 | 05535566666 | 
11 | 工厂 - 模组办公室 | 2301 | 05535566666 | 
12 | 工厂 - 4楼管制口 | 2401 | 05535566666 | 
13 | 工厂 - OLED-Fab | 6101 | 05535566666 | 
14 | 工厂 - OLED-办公室 | 6102 | 05535566666 | 
15 | 工厂 - 模组部-Fab | 6103 | 05535566666 | 
16 | 工厂 - 模组部-办公室 | 6104 | 05535566666 | 
17 | 工厂 - 黄光-Fab | 6105 | 05535566666 | 
18 | 工厂 - Array薄膜区 2楼 | 6201 | 05535566666 | 
19 | 工厂 - Array黄光区2楼 | 6202 | 05535566666 | 
20 | 工厂 - Array刻蚀区2楼 | 6203 | 05535566666 | 
21 | 工厂 - 蒸镀区 | 6205 | 05535566666 | 
22 | 工厂 - 黄光区-整合 | 6206 | 05535566666 | 
23 | 工厂 - 蒸镀区-整合 | 6207 | 05535566666 | 
24 | 工厂 - 三楼贴合区 | 6401 | 05535566666 | 
25 | 工厂 - 三楼模组切割段 | 6402 | 05535566666 | 
26 | 工厂 - 三楼模组线边仓 | 6403 | 05535566666 | 
27 | 工厂 - 三楼模组测试段 | 6405 | 05535566666 | 
28 | 工厂 - 三楼模组备品间 | 6406 | 05535566666 | 
29 | 工厂 - 三楼模组镭射修复区域 | 6407 | 05535566666 | 
30 | 工厂 - 化学间 | 6408 | 05535566666 | 
31 | 工厂 - RA实验室 | 7102 | 05535566666 | 
32 | 工厂 - IQC实验室 | 7103 | 05535566666 | 
33 | 工厂 - 电路实验室 | 7104 | 05535566666 | 
34 | 工厂 - CIM办公室1 | 8080 | 05535566666 | 
35 | 工厂 - CIM办公室 | 8081 | 05535566666 | 
36 | 工厂 - 入料清点区 | 8101 | 05535566666 | 
37 | 工厂 - 中控室 | 9119 | 05535566666 | 
