1.锁定&修改锁定&解锁 批次
0 | 返回 | * | * | * | * | * | * | * | * | * | * | * | 
1 | LotManagement 集成测试脚本——锁定&修改锁定&解锁 批次 | * | * | * | * | * | * | * | * | * | * | * | 
2 | 测试对象 | * | * | * | * | * | * | * | * | * | * | * | 
3 | 安徽熙泰、芜湖微显 | * | * | * | * | * | * | * | * | * | * | * | 
4 | 前提条件 | * | * | * | * | * | * | * | * | * | * | * | 
5 | 系统后台配置完全； 物料主数据、客户主数据、检验计划 | * | * | * | * | * | * | * | * | * | * | * | 
6 | 主要测试场景描述 | * | * | * | * | * | * | * | * | * | * | * | 
7 | 1.对有问题的批次进行锁定，不让其再继续加工 2.可对锁定批次信息进行修改 3.批次问题确认好后，可对批次进行解锁，让其恢复可加工的状态 | * | * | * | * | * | * | * | * | * | * | * | 
8 | 步骤 | 描述 | 事务代码 | 输入数据（第一次集成） | 输入数据 | 模块 | 输入数据 | 实际结果 | 测试者 | 参与测试人员签署 | 备注 | * | 
9 | 1.0 | 数据准备 | * | * | * | * | * | * | * | * | * | * | 
10 | A10+0.01 | 部门 | * | 数据来源：Modeler系统-管理员-权限控制-部门 | * | * | * | * | * | * | * | * | 
11 | A11+0.01 | Section | * | 数据来源：Modeler系统-管理员-权限控制-部门-Add Child | * | * | * | * | * | * | * | * | 
12 | A12+0.01 | 原因代码 | * | 数据来源：Modeler系统-配置特征-原因代码 | * | * | * | * | * | * | * | * | 
13 | A13+0.01 | 锁定用户/担当者名称 | * | 数据来源：Modeler系统-管理员-权限控制-用户 | * | * | * | * | * | * | * | * | 
14 | 2.0 | 锁定批次 | * | * | * | * | * | * | * | * | * | * | 
15 | A15+0.01 | 在搜索栏中输入数据后点，击Insert按钮 | * | By Lot，By Carrier，By Batch ID 三种方式任选其一 | * | * | * | * | * | * | * | * | * | 
16 | A16+0.01 | 勾选批次信息下方表格中的数据 | * | * | * | * | * | * | * | * | * | * | * | 
17 | A17+0.01 | 填写锁定信息 | * | * | * | * | * | * | * | * | * | * | * | 
18 | A18+0.01 | 输入备注信息，点击确认，操作完成 | * | * | * | * | * | * | * | * | * | * | * | 
19 | 3.0 | 修改锁定信息 | * | * | * | * | * | * | * | * | * | * | 
20 | A20+0.01 | 在搜索栏中输入批次名称后，点击Search按钮 | * | * | * | * | * | * | * | * | * | * | 
21 | A21+0.01 | 勾选批次信息下方表格中的数据 | * | * | * | * | * | * | * | * | * | * | 
22 | A22+0.01 | 勾选锁定状态下方表格中的数据 | * | * | * | * | * | * | * | * | * | * | 
23 | A23+0.01 | 对锁定信息下方表格中的某项数据进行修改 | * | * | * | * | * | * | * | * | * | * | 
24 | A24+0.01 | 输入备注信息，点击确认，操作完成 | * | * | * | * | * | * | * | * | * | * | 
25 | 4.0 | 解锁批次 | * | * | * | * | * | * | * | * | * | * | 
26 | A26+0.01 | 在搜索栏中输入数据后点，击Insert按钮 | * | By Lot，By Carrier，By Batch ID 三种方式任选其一 | * | * | * | * | * | * | * | 
27 | A27+0.01 | 勾选批次信息下方表格中的数据 | * | * | * | * | * | * | * | * | * | * | * | * | * | * | * | 
28 | A28+0.01 | 勾选锁定状态下方表格中的数据 | * | * | * | * | * | * | * | * | * | * | 
29 | A29+0.01 | 填写解锁信息 | * | * | * | * | * | * | * | * | * | * | 
30 | A30+0.01 | 输入备注信息，点击确认，操作完成 | * | * | * | * | * | * | * | * | * | * | * | 
31 | * | * | * | * | * | * | * | * | * | * | * | * | 
32 | * | * | * | * | * | * | * | * | * | * | * | * | 
33 | * | * | * | * | * | * | * | * | * | * | * | * | 
34 | * | * | * | * | * | * | * | * | * | * | * | * | 
35 | * | * | * | * | * | * | * | * | * | * | * | * | 
36 | * | * | * | * | * | * | * | * | * | * | * | * | 
37 | * | * | * | * | * | * | * | * | * | * | * | * | 
38 | * | * | * | * | * | * | * | * | * | * | * | * | 
39 | * | * | * | * | * | * | * | * | * | * | * | * | 
40 | * | * | * | * | * | * | * | * | * | * | * | * | 
41 | * | * | * | * | * | * | * | * | * | * | * | * | 
42 | * | * | * | * | * | * | * | * | * | * | * | * | 
43 | * | * | * | * | * | * | * | * | * | * | * | * | 
44 | * | * | * | * | * | * | * | * | * | * | * | * | 
45 | * | * | * | * | * | * | * | * | * | * | * | * | 
46 | * | * | * | * | * | * | * | * | * | * | * | * | 
47 | * | * | * | * | * | * | * | * | * | * | * | * | 
48 | * | * | * | * | * | * | * | * | * | * | * | * | 
49 | * | * | * | * | * | * | * | * | * | * | * | * | 
50 | * | * | * | * | * | * | * | * | * | * | * | * | 
51 | * | * | * | * | * | * | * | * | * | * | * | * | 
52 | * | * | * | * | * | * | * | * | * | * | * | * | 
53 | * | * | * | * | * | * | * | * | * | * | * | * | 
54 | * | * | * | * | * | * | * | * | * | * | * | * | 
55 | * | * | * | * | * | * | * | * | * | * | * | * | 
56 | * | * | * | * | * | * | * | * | * | * | * | * | 
57 | * | * | * | * | * | * | * | * | * | * | * | * | 
58 | * | * | * | * | * | * | * | * | * | * | * | * | 
59 | * | * | * | * | * | * | * | * | * | * | * | * | 
60 | * | * | * | * | * | * | * | * | * | * | * | * | 
61 | * | * | * | * | * | * | * | * | * | * | * | * | 
62 | * | * | * | * | * | * | * | * | * | * | * | * | 
63 | * | * | * | * | * | * | * | * | * | * | * | * | 
64 | * | * | * | * | * | * | * | * | * | * | * | * | 
65 | * | * | * | * | * | * | * | * | * | * | * | * | 
66 | * | * | * | * | * | * | * | * | * | * | * | * | 
67 | * | * | * | * | * | * | * | * | * | * | * | * | 
68 | * | * | * | * | * | * | * | * | * | * | * | * | 
69 | * | * | * | * | * | * | * | * | * | * | * | * | 
70 | * | * | * | * | * | * | * | * | * | * | * | * | 
71 | * | * | * | * | * | * | * | * | * | * | * | * | 
72 | * | * | * | * | * | * | * | * | * | * | * | * | 
73 | * | * | * | * | * | * | * | * | * | * | * | * | 
74 | * | * | * | * | * | * | * | * | * | * | * | * | 
75 | * | * | * | * | * | * | * | * | * | * | * | * | 
76 | * | * | * | * | * | * | * | * | * | * | * | * | 
77 | * | * | * | * | * | * | * | * | * | * | * | * | 
78 | * | * | * | * | * | * | * | * | * | * | * | * | 
79 | * | * | * | * | * | * | * | * | * | * | * | * | 
80 | * | * | * | * | * | * | * | * | * | * | * | * | 
81 | * | * | * | * | * | * | * | * | * | * | * | * | 
82 | * | * | * | * | * | * | * | * | * | * | * | * | 
83 | * | * | * | * | * | * | * | * | * | * | * | * | 
84 | * | * | * | * | * | * | * | * | * | * | * | * | 
85 | * | * | * | * | * | * | * | * | * | * | * | * | 
86 | * | * | * | * | * | * | * | * | * | * | * | * | 
87 | * | * | * | * | * | * | * | * | * | * | * | * | 
88 | * | * | * | * | * | * | * | * | * | * | * | * | 
89 | * | * | * | * | * | * | * | * | * | * | * | * | 
90 | * | * | * | * | * | * | * | * | * | * | * | * | 
91 | * | * | * | * | * | * | * | * | * | * | * | * | 
92 | * | * | * | * | * | * | * | * | * | * | * | * | 
93 | * | * | * | * | * | * | * | * | * | * | * | * | 
94 | * | * | * | * | * | * | * | * | * | * | * | * | 
95 | * | * | * | * | * | * | * | * | * | * | * | * | 
96 | * | * | * | * | * | * | * | * | * | * | * | * | 
97 | * | * | * | * | * | * | * | * | * | * | * | * | 
98 | * | * | * | * | * | * | * | * | * | * | * | * | 
99 | * | * | * | * | * | * | * | * | * | * | * | * | 
100 | * | * | * | * | * | * | * | * | * | * | * | * | 
101 | * | * | * | * | * | * | * | * | * | * | * | * | 
102 | * | * | * | * | * | * | * | * | * | * | * | * | 
103 | * | * | * | * | * | * | * | * | * | * | * | * | 
104 | * | * | * | * | * | * | * | * | * | * | * | * | 
105 | * | * | * | * | * | * | * | * | * | * | * | * | 
106 | * | * | * | * | * | * | * | * | * | * | * | * | 
107 | * | * | * | * | * | * | * | * | * | * | * | * | 
108 | * | * | * | * | * | * | * | * | * | * | * | * | 
109 | * | * | * | * | * | * | * | * | * | * | * | * | 
110 | * | * | * | * | * | * | * | * | * | * | * | * | 
111 | * | * | * | * | * | * | * | * | * | * | * | * | 
112 | * | * | * | * | * | * | * | * | * | * | * | * | 
113 | * | * | * | * | * | * | * | * | * | * | * | * | 
114 | * | * | * | * | * | * | * | * | * | * | * | * | 
115 | * | * | * | * | * | * | * | * | * | * | * | * | 
116 | * | * | * | * | * | * | * | * | * | * | * | * | 
117 | * | * | * | * | * | * | * | * | * | * | * | * | 
118 | * | * | * | * | * | * | * | * | * | * | * | * | 
119 | * | * | * | * | * | * | * | * | * | * | * | * | 
120 | * | * | * | * | * | * | * | * | * | * | * | * | 
121 | * | * | * | * | * | * | * | * | * | * | * | * | 
122 | * | * | * | * | * | * | * | * | * | * | * | * | 
123 | * | * | * | * | * | * | * | * | * | * | * | * | 
124 | * | * | * | * | * | * | * | * | * | * | * | * | 
125 | * | * | * | * | * | * | * | * | * | * | * | * | 
126 | * | * | * | * | * | * | * | * | * | * | * | * | 
127 | * | * | * | * | * | * | * | * | * | * | * | * | 
2.批量锁定&批量解锁
0 | 返回 | * | * | * | * | * | * | * | * | * | * | * | 
1 | LotManagement 集成测试脚本——批量锁定&批量解锁 | * | * | * | * | * | * | * | * | * | * | * | 
2 | 测试对象 | * | * | * | * | * | * | * | * | * | * | * | 
3 | 安徽熙泰、芜湖微显 | * | * | * | * | * | * | * | * | * | * | * | 
4 | 前提条件 | * | * | * | * | * | * | * | * | * | * | * | 
5 | 系统后台配置完全； 物料主数据、客户主数据、检验计划 | * | * | * | * | * | * | * | * | * | * | * | 
6 | 主要测试场景描述 | * | * | * | * | * | * | * | * | * | * | * | 
7 | 1.可以通过筛选条件组合查询数据后，勾选其中一些数据批量进行锁定 2.可以通过筛选条件组合查询数据后，勾选其中一些数据批量进行解锁 | * | * | * | * | * | * | * | * | * | * | * | 
8 | 步骤 | 描述 | 事务代码 | 输入数据（第一次集成） | 输入数据 | 模块 | 输入数据 | 实际结果 | 测试者 | 参与测试人员签署 | 备注 | * | 
9 | 1.0 | 数据准备 | * | * | * | * | * | * | * | * | * | * | 
10 | A10+0.01 | 产品 | * | 数据来源：Modeler系统-物料-产品-产品 | * | * | * | * | * | * | * | * | 
11 | A11+0.01 | 主流程 | * | 数据来源：Modeler系统-物料-产品-产品 | * | * | * | * | * | * | * | * | 
12 | A12+0.01 | 工艺段 | * | 数据来源：Modeler系统-流程-PRP(表格)-子流程序列 | * | * | * | * | * | * | * | * | 
13 | A13+0.01 | 站点名称 | * | 数据来源：Modeler系统-流程-PRP(表格)-主流程顺序 | * | * | * | * | * | * | * | * | 
14 | A14+0.01 | 批次类型 | * | 数据来源：Modeler系统-配置特征-枚举定义 | * | * | * | * | * | * | * | * | 
15 | A15+0.01 | 部门 | * | 数据来源：Modeler系统-管理员-权限控制-部门 | * | * | * | * | * | * | * | * | 
16 | A16+0.01 | Section | * | 数据来源：Modeler系统-管理员-权限控制-部门-Add Child | * | * | * | * | * | * | * | * | 
17 | A17+0.01 | 原因代码 | * | 数据来源：Modeler系统-配置特征-原因代码 | * | * | * | * | * | * | * | * | 
